x, y, z, level
0, 0, 0, 0
1, 0, 0, 0
2, 0, 0, 0
3, 0, 0, 0
4, 0, 0, 0
5, 0, 0, 0
6, 0, 0, 0
7, 0, 0, 0
8, 0, 0, 0
9, 0, 0, 0
10, 0, 0, 0
0, 0, 1, 0
1, 0, 1, 0
2, 0, 1, 0
3, 0, 1, 0
4, 0, 1, 0
5, 0, 1, 0
6, 0, 1, 0
7, 0, 1, 0
8, 0, 1, 0
9, 0, 1, 0
10, 0, 1, 0
0, 0, 2, 0
1, 0, 2, 0
2, 0, 2, 0
3, 0, 2, 0
4, 0, 2, 0
5, 0, 2, 0
6, 0, 2, 0
7, 0, 2, 0
8, 0, 2, 0
9, 0, 2, 0
10, 0, 2, 0
0, 0, 3, 0
1, 0, 3, 0
2, 0, 3, 0
3, 0, 3, 0
4, 0, 3, 0
5, 0, 3, 0
6, 0, 3, 0
7, 0, 3, 0
8, 0, 3, 0
9, 0, 3, 0
10, 0, 3, 0
0, 0, 4, 0
1, 0, 4, 0
2, 0, 4, 0
3, 0, 4, 0
4, 0, 4, 0
5, 0, 4, 0
6, 0, 4, 0
7, 0, 4, 0
8, 0, 4, 0
9, 0, 4, 0
10, 0, 4, 0
0, 0, 5, 0
1, 0, 5, 0
2, 0, 5, 0
3, 0, 5, 0
4, 0, 5, 0
5, 0, 5, 0
6, 0, 5, 0
7, 0, 5, 0
8, 0, 5, 0
9, 0, 5, 0
10, 0, 5, 0
0, 0, 6, 0
1, 0, 6, 0
2, 0, 6, 0
3, 0, 6, 0
4, 0, 6, 0
5, 0, 6, 0
6, 0, 6, 0
7, 0, 6, 0
8, 0, 6, 0
9, 0, 6, 0
10, 0, 6, 0
0, 0, 7, 0
1, 0, 7, 0
2, 0, 7, 0
3, 0, 7, 0
4, 0, 7, 0
5, 0, 7, 0
6, 0, 7, 0
7, 0, 7, 0
8, 0, 7, 0
9, 0, 7, 0
10, 0, 7, 0
0, 0, 8, 0
1, 0, 8, 0
2, 0, 8, 0
3, 0, 8, 0
4, 0, 8, 0
5, 0, 8, 0
6, 0, 8, 0
7, 0, 8, 0
8, 0, 8, 0
9, 0, 8, 0
10, 0, 8, 0
0, 0, 9, 0
1, 0, 9, 0
2, 0, 9, 0
3, 0, 9, 0
4, 0, 9, 0
5, 0, 9, 0
6, 0, 9, 0
7, 0, 9, 0
8, 0, 9, 0
9, 0, 9, 0
10, 0, 9, 0
0, 0, 10, 0
9, 0, 10, 0
10, 0, 10, 0
8, 0.0108573, 0, 0
9, 0.0109579, 0, 0
7, 0.0107568, 1, 0
8, 0.0108573, 1, 0
6, 0.0106563, 2, 0
7, 0.0107568, 2, 0
5, 0.0105558, 3, 0
6, 0.0106563, 3, 0
4, 0.0104552, 4, 0
5, 0.0105558, 4, 0
3, 0.0103547, 5, 0
4, 0.0104552, 5, 0
2, 0.0102542, 6, 0
3, 0.0103547, 6, 0
4, 0.0104552, 6, 0
5, 0.0105558, 6, 0
6, 0.0106563, 6, 0
7, 0.0107568, 6, 0
8, 0.0108573, 6, 0
9, 0.0109579, 6, 0
10, 0.0110584, 6, 0
-5.05324e-07, 0.0100531, 7, 0
0.999999, 0.0101536, 7, 0
2, 0.0102542, 7, 0
3, 0.0103547, 7, 0
4, 0.0104552, 7, 0
5, 0.0105558, 7, 0
6, 0.0106563, 7, 0
7, 0.0107568, 7, 0
8, 0.0108573, 7, 0
9, 0.0109579, 7, 0
10, 0.0110584, 7, 0
-5.05324e-07, 0.0100531, 8, 0
0.999999, 0.0101536, 8, 0
10, 0.0110584, 8, 0
-5.05324e-07, 0.0100531, 9, 0
9, 0.0109579, 9, 0
10, 0.0110584, 9, 0
8, 0.0108573, 10, 0
9, 0.0109579, 10, 0
